"Accession"	"Species"	"Length"	"Sequence_Type"	"Host"	"Collection_Date"	"Country.1"	"Country.2"
"234"	"MN418145"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 New Paltz, NY
"235"	"MN418150"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2016"	USA	 New London, CT
"236"	"MN418149"	"Rabies lyssavirus"	11925	"GenBank"	"Vulpes vulpes"	"2017"	USA	 New City, NY
"237"	"MF143220"	"Rabies lyssavirus"	11939	"GenBank"	"Urocyon cinereoargenteus"	"2014"	USA	 Naples, Cumberland, ME
"238"	"MN418158"	"Rabies lyssavirus"	11925	"GenBank"	"Urocyon cinereoargenteus"	"2017"	USA	 Monticello, NY
"239"	"MF143208"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2013"	USA	 Monmouth, Kennebec, ME
"240"	"MF143194"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2013"	USA	 Milford, Penobscot, ME
"241"	"MN418169"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2018"	USA	 Midland Park, NJ
"242"	"MF143297"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2004"	USA	 Middlebury, Wyoming, NY
"243"	"MF143281"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2006"	USA	 Middlebury, Addison, VT
"244"	"MF143332"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2011"	USA	 Mexico, Oswego, NY
"245"	"MF143199"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2013"	USA	 Mariaville, Hancock, ME
"246"	"MN418183"	"Rabies lyssavirus"	11925	"GenBank"	"Urocyon cinereoargenteus"	"2017"	USA	 Mahopac, NY
"247"	"MF143282"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2007"	USA	 Lyndon, Caledonia, VT
"248"	"MN418143"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2008"	USA	 Lloyd Harbor, NY
"249"	"MF143195"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2013"	USA	 Litchfield, Kennebec, ME
"250"	"MN418156"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2018"	USA	 Lincoln Park, NJ
"251"	"MF143201"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2013"	USA	 Lewistion, Androscoggin, ME
"252"	"MF143290"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"1994"	USA	 Kendall, Orleans, NY
"253"	"MF143293"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2003"	USA	 Kendall, Orleans, NY
"254"	"MF143303"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2004"	USA	 Kendall, Orleans, NY
"255"	"MF143406"	"Rabies lyssavirus"	11939	"GenBank"	"Bos taurus"	"2009"	USA	 Hyde Park, Lamoille, VT
"256"	"MN418164"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2009"	USA	 Huntington, NY
"257"	"MN418162"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Hudson, NY
"258"	"MF143314"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2010"	USA	 Horseheads, Chemung, NY
"259"	"MF143203"	"Rabies lyssavirus"	11939	"GenBank"	"Vulpes vulpes"	"2013"	USA	 Hiram, Oxford, ME
"260"	"MN418159"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2016"	USA	 Hicksville, NY
"261"	"MF143321"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2010"	USA	 Hanover, Chautauqua, NY
"262"	"MF143308"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2010"	USA	 Hammond, St Lawrence, NY
"263"	"MN418148"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitis mephitis"	"2017"	USA	 Groton, CT
"264"	"MF143338"	"Rabies lyssavirus"	11939	"GenBank"	"Bos taurus"	"2009"	USA	 Greensboro, Orleans, VT
"265"	"MF143404"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2009"	USA	 Greensboro, Orleans, VT
"266"	"MN418176"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Greene, NY
"267"	"MF143402"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2009"	USA	 Grand Isle, Grand Isle, VT
"268"	"MF143309"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2010"	USA	 Gouveneur, St Lawrence, NY
"269"	"MF143310"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2010"	USA	 Gouveneur, St Lawrence, NY
"270"	"MF143382"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2007"	USA	 Georgia, Franklin, VT
"271"	"MF143388"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2007"	USA	 Georgia, Franklin, VT
"272"	"MF143209"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2013"	USA	 Franklin, Hancock, ME
"273"	"MF143337"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2007"	USA	 Franklin, Franklin, VT
"274"	"MF143390"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2007"	USA	 Franklin, Franklin, VT
"275"	"MF143399"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2009"	USA	 Franklin, Franklin, VT
"276"	"MF143405"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2009"	USA	 Franklin, Franklin, VT
"277"	"MF143202"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2013"	USA	 Farmington, Franklin, ME
"278"	"MF143380"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2007"	USA	 Fairfield, Franklin, VT
"279"	"MN418182"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2016"	USA	 Fairfield, CT
"280"	"MF143392"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2009"	USA	 Fairfax, Franklin, VT
"281"	"MF143286"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2007"	USA	 Essex, Chittenden, VT
"282"	"MF143397"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2009"	USA	 Essex, Chittenden, VT
"283"	"MF143288"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2008"	USA	 Elmore, Lamoille, VT
"284"	"MF143326"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2011"	USA	 Ellisburg, Jefferson, NY
"285"	"MF143197"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2013"	USA	 Eliot, York, ME
"286"	"MF143193"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2013"	USA	 Dixmont, Penobscot, ME
"287"	"MF143340"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2011"	USA	 Derby, Orleans, VT
"288"	"MN418142"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2018"	USA	 Denville, NJ
"289"	"MF143221"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2014"	USA	 Deblois, Washington, ME
"290"	"MF143278"	"Rabies lyssavirus"	11939	"GenBank"	"Bos taurus"	"2006"	USA	 Danville, Caledonia, VT
"291"	"MF143287"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2007"	USA	 Danville, Caledonia, VT
"292"	"MF143386"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2007"	USA	 Danville, Caledonia, VT
"293"	"MF143387"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2007"	USA	 Danville, Caledonia, VT
"294"	"MN418180"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitis mephitis"	"2017"	USA	 Cutler, ME
"295"	"MF143331"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2011"	USA	 Croghan, Lewis, NY
"296"	"MF143394"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2009"	USA	 Craftsbury, Orleans, VT
"297"	"MF143398"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2009"	USA	 Craftsbury, Orleans, VT
"298"	"MF143412"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2010"	USA	 Craftsbury, Orleans, VT
"299"	"MN418152"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2016"	USA	 Cornwallville, NY
"300"	"MF143215"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2014"	USA	 Cornville, Somerset, ME
"301"	"MF143216"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2014"	USA	 Cornville, Somerset, ME
"302"	"MN418147"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Cobleskill, NY
"303"	"MN418178"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Clinton, NY
"304"	"MF143279"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2006"	USA	 Clarendon, Rutland, VT
"305"	"MF143191"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2013"	USA	 China, Kennebec, ME
"306"	"MF143217"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2014"	USA	 Charlotte, Washington, ME
"307"	"MF143334"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2011"	USA	 Champlain, Clinton, NY
"308"	"MF143322"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2010"	USA	 Carlton, Orleans, NY
"309"	"MF143311"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2010"	USA	 Cambria, Niagara, NY
"310"	"MF143373"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2005"	USA	 Cabot, Washington, VT
"311"	"MF143316"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2010"	USA	 Byron, Genesee, NY
"312"	"MF143378"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2007"	USA	 Burlington, Chittenden, VT
"313"	"MF143381"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2007"	USA	 Burlington, Chittenden, VT
"314"	"MF143407"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2010"	USA	 Burlington, Chittenden, VT
"315"	"MF143409"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2010"	USA	 Burlington, Chittenden, VT
"316"	"MF143413"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2010"	USA	 Burlington, Chittenden, VT
"317"	"MF143414"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2011"	USA	 Burlington, Chittenden, VT
"318"	"MF143415"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2011"	USA	 Burlington, Chittenden, VT
"319"	"MN418146"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Brownsville, VT
"320"	"MN418157"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Bronx, NY
"321"	"MN418174"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Bronx, NY
"322"	"MN418165"	"Rabies lyssavirus"	11925	"GenBank"	"Vulpes vulpes"	"2017"	USA	 Bristol, VT
"323"	"MN418155"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2016"	USA	 Bridgeport, CT
"324"	"MF143291"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"1995"	USA	 Black Brook, Clinton, NY
"325"	"MF143328"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2011"	USA	 Batavia City, Genesee, NY
"326"	"MF143403"	"Rabies lyssavirus"	11939	"GenBank"	"Bos taurus"	"2009"	USA	 Barton, Orleans, VT
"327"	"MF143391"	"Rabies lyssavirus"	11939	"GenBank"	"Bos taurus"	"2008"	USA	 Bakersfield, Franklin, VT
"328"	"MF143222"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2014"	USA	 Baileyville, Washington, ME
"329"	"MN418177"	"Rabies lyssavirus"	11925	"GenBank"	"Urocyon cinereoargenteus"	"2017"	USA	 Arlington, VT
"330"	"MF143325"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2011"	USA	 Amherst, Erie, NY
"331"	"MF143329"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2011"	USA	 Amherst, Erie, NY
"332"	"MN418166"	"Rabies lyssavirus"	11926	"GenBank"	"Canis lupus familiaris"	"2018"	USA	 Altona, NY
"333"	"MF143295"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2003"	USA	 Albion, Orleans, NY
"334"	"MN233898"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1989"	USA	 Alaska
"335"	"MN233899"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2007"	USA	 Alaska
"336"	"MN233900"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2007"	USA	 Alaska
"337"	"MN233901"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2008"	USA	 Alaska
"338"	"MN233902"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2008"	USA	 Alaska
"339"	"MN862283"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1991"	USA	 Alabama
"340"	"MF143257"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2004"	USA	 Adams, Jefferson, NY
"341"	"MF143298"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2004"	USA	 Adams, Jefferson, NY
"342"	"MF143324"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2011"	USA	 Adams, Jefferson, NY
"343"	"MN418172"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitis mephitis"	"2017"	USA	 Accord, NY
"344"	"MG562518"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2003"	USA	
"345"	"MG562519"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2003"	USA	
"346"	"MG562520"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2003"	USA	
"347"	"MG562521"	"Rabies lyssavirus"	11924	"GenBank"	"Equus caballus"	"2004"	USA	
"348"	"MG562522"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2003"	USA	
"349"	"MG562523"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	
"350"	"MG562524"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	
"351"	"MG562525"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1992"	USA	
"352"	"MG562526"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1995"	USA	
"353"	"MG562527"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2003"	USA	
"354"	"MG562528"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2003"	USA	
"355"	"MG562529"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2003"	USA	
"356"	"MG562530"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2003"	USA	
"357"	"MG562531"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2003"	USA	
"358"	"MG562532"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2003"	USA	
"359"	"MG562533"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2003"	USA	
"360"	"MG562534"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	
"361"	"MG562535"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	
"362"	"MG562536"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	
"363"	"MG562537"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	
"364"	"MG562538"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2004"	USA	
"365"	"MG562539"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	
"366"	"MG562540"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2004"	USA	
"367"	"MG562541"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2004"	USA	
"368"	"MG562542"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	
"369"	"MG562543"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2010"	USA	
"370"	"MG562544"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2010"	USA	
"371"	"MG562545"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2010"	USA	
"372"	"MG562546"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2010"	USA	
"373"	"MG562547"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2011"	USA	
"374"	"MG562548"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	
"375"	"MG562549"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	
"376"	"MG562550"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	
"377"	"MG562551"	"Rabies lyssavirus"	11924	"GenBank"	"Urocyon cinereoargenteus"	"2011"	USA	
"378"	"MG562552"	"Rabies lyssavirus"	11924	"GenBank"	"Urocyon cinereoargenteus"	"2011"	USA	
"379"	"MG562553"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	
"380"	"MG562554"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2011"	USA	
"381"	"MG562555"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2005"	USA	
"382"	"MG562556"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2005"	USA	
"383"	"MG562557"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2005"	USA	
"384"	"MG562558"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"2005"	USA	
"385"	"MG562559"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2005"	USA	
"386"	"MG562560"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2005"	USA	
"387"	"MG562561"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2005"	USA	
"388"	"MG562562"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2005"	USA	
"389"	"MG562563"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2005"	USA	
"390"	"MG562564"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2006"	USA	
"391"	"MG562565"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2006"	USA	
"392"	"MG562566"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2006"	USA	
"393"	"MG562567"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2006"	USA	
"394"	"MG562568"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2006"	USA	
"395"	"MG562569"	"Rabies lyssavirus"	11926	"GenBank"	"Procyon lotor"	"2006"	USA	
"396"	"MG562570"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2006"	USA	
"397"	"MG562571"	"Rabies lyssavirus"	11924	"GenBank"	"Bos taurus"	"2006"	USA	
"398"	"MG562572"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2006"	USA	
"399"	"MG562573"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2006"	USA	
"400"	"MG562574"	"Rabies lyssavirus"	11925	"GenBank"	"Marmota monax"	"2006"	USA	
"401"	"MG562575"	"Rabies lyssavirus"	11923	"GenBank"	"Equus caballus"	"2007"	USA	
"402"	"MG562576"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2007"	USA	
"403"	"MG562577"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"2007"	USA	
"404"	"MG562578"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2007"	USA	
"405"	"MG562579"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2007"	USA	
"406"	"MG562580"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2008"	USA	
"407"	"MG562581"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2008"	USA	
"408"	"MG562582"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2008"	USA	
"409"	"MG562583"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2008"	USA	
"410"	"MG562584"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2008"	USA	
"411"	"MG562585"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2008"	USA	
"412"	"MG562586"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2008"	USA	
"413"	"MG562587"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2008"	USA	
"414"	"MG562588"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2008"	USA	
"415"	"MG562589"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2008"	USA	
"416"	"MG562590"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2008"	USA	
"417"	"MG562591"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2008"	USA	
"418"	"MG562592"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2008"	USA	
"419"	"MG562593"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2009"	USA	
"420"	"MG562594"	"Rabies lyssavirus"	11924	"GenBank"	"Equus caballus"	"2009"	USA	
"421"	"MG562595"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2009"	USA	
"422"	"MG562596"	"Rabies lyssavirus"	11923	"GenBank"	"Urocyon cinereoargenteus"	"2009"	USA	
"423"	"MG562597"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2009"	USA	
"424"	"MG562598"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2009"	USA	
"425"	"MG562599"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2009"	USA	
"426"	"MG562600"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2009"	USA	
"427"	"MG562601"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2009"	USA	
"428"	"MG562602"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2009"	USA	
"429"	"MG562603"	"Rabies lyssavirus"	11924	"GenBank"	"Bos taurus"	"2009"	USA	
"430"	"MG562604"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2009"	USA	
"431"	"MG562605"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2009"	USA	
"432"	"MG562606"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2009"	USA	
"433"	"MG562607"	"Rabies lyssavirus"	11923	"GenBank"	"Urocyon cinereoargenteus"	"2010"	USA	
"434"	"MG562608"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2010"	USA	
"435"	"MG562609"	"Rabies lyssavirus"	11925	"GenBank"	"Urocyon cinereoargenteus"	"2010"	USA	
"436"	"MG562610"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2011"	USA	
"437"	"MG458304"	"Rabies lyssavirus"	11922	"GenBank"	"Chiroptera"	"1975"	USA	
"438"	"KY026414"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2013"	USA	
"439"	"KY026416"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"1995"	USA	
"440"	"KY026417"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"1998"	USA	
"441"	"KY026418"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"1998"	USA	
"442"	"KY026419"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2004"	USA	
"443"	"KY026420"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	
"444"	"KY026421"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2011"	USA	
"445"	"KY026478"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2006"	USA	
"446"	"KY026479"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2006"	USA	
"447"	"KY026480"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2007"	USA	
"448"	"KY026481"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2008"	USA	
"449"	"KY026482"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2008"	USA	
"450"	"KY026483"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2011"	USA	
"451"	"KX148106"	"Rabies lyssavirus"	11926	"GenBank"	"Canidae"	"1990"	USA	
"452"	"KX148213"	"Rabies lyssavirus"	11801	"GenBank"	"Mephitidae"	"1982"	USA	
"453"	"KX148224"	"Rabies lyssavirus"	11804	"GenBank"	"Mephitidae"	"1991"	USA	
"454"	"KU198460"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"1989"	USA	
"455"	"KU198462"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"1990"	USA	
"456"	"KU198463"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1990"	USA	
"457"	"KU198471"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2007"	USA	
"458"	"KC737850"	"Rabies lyssavirus"	11925	"GenBank"	"Homo sapiens"	"2011"	USA	
"459"	"JQ685892"	"Rabies lyssavirus"	11828	"GenBank"	"Urocyon cinereoargenteus"	"2009"	USA	
"460"	"JQ685893"	"Rabies lyssavirus"	11929	"GenBank"	"Mephitis mephitis"	"2001"	USA	
"461"	"JQ685894"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitis mephitis"	"1994"	USA	
"462"	"JQ685895"	"Rabies lyssavirus"	11926	"GenBank"	"Lasionycteris noctivagans"	"2003"	USA	
"463"	"JQ685896"	"Rabies lyssavirus"	11821	"GenBank"	"Urocyon cinereoargenteus"	"2009"	USA	
"464"	"JQ685897"	"Rabies lyssavirus"	11922	"GenBank"	"Eptesicus fuscus"	"2001"	USA	
"465"	"JQ685898"	"Rabies lyssavirus"	11922	"GenBank"	"Eptesicus fuscus"	"2009"	USA	
"466"	"JQ685899"	"Rabies lyssavirus"	11930	"GenBank"	"Urocyon cinereoargenteus"	"2009"	USA	
"467"	"JQ685900"	"Rabies lyssavirus"	11924	"GenBank"	"Lasiurus seminolus"	"2003"	USA	
"468"	"JQ685901"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2003"	USA	
"469"	"JQ685902"	"Rabies lyssavirus"	11924	"GenBank"	"Lasiurus borealis"	"2005"	USA	
"470"	"JQ685903"	"Rabies lyssavirus"	11922	"GenBank"	"Eptesicus fuscus"	"2004"	USA	
